// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln file. Will use current directory /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking/bin/release/netcoreapp3.0/80d9f06c-e183-4623-b861-19308c23a452
// command took 1.79s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking/bin/release/netcoreapp3.0/80d9f06c-e183-4623-b861-19308c23a452
// command took 6.16s and exited with 0
// ***** Done, took 00:00:08 (8.1 sec)   *****
// Found 1 benchmarks:
//   Md5VsSha256.IfStatement: Core(Runtime=Core)

// **************************
// Benchmark: Md5VsSha256.IfStatement: Core(Runtime=Core)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "80d9f06c-e183-4623-b861-19308c23a452.dll" --benchmarkName "MyBenchmarks.Md5VsSha256.IfStatement" --job "Core" --benchmarkId 0 in /Users/marcjones/Documents/projects/scriptlang/scriptlang.benchmarking/bin/release/netcoreapp3.0/80d9f06c-e183-4623-b861-19308c23a452/bin/Release/netcoreapp3.0
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Core(Runtime=Core)

OverheadJitting  1: 1 op, 333108.00 ns, 333.1080 us/op
WorkloadJitting  1: 1 op, 4240208.00 ns, 4.2402 ms/op

OverheadJitting  2: 16 op, 401610.00 ns, 25.1006 us/op
WorkloadJitting  2: 16 op, 329403.00 ns, 20.5877 us/op

WorkloadPilot    1: 16 op, 19067.00 ns, 1.1917 us/op
WorkloadPilot    2: 32 op, 4190.00 ns, 130.9375 ns/op
WorkloadPilot    3: 64 op, 9901.00 ns, 154.7031 ns/op
WorkloadPilot    4: 128 op, 20740.00 ns, 162.0312 ns/op
WorkloadPilot    5: 256 op, 36956.00 ns, 144.3594 ns/op
WorkloadPilot    6: 512 op, 53948.00 ns, 105.3672 ns/op
WorkloadPilot    7: 1024 op, 87179.00 ns, 85.1357 ns/op
WorkloadPilot    8: 2048 op, 166114.00 ns, 81.1104 ns/op
WorkloadPilot    9: 4096 op, 404260.00 ns, 98.6963 ns/op
WorkloadPilot   10: 8192 op, 676143.00 ns, 82.5370 ns/op
WorkloadPilot   11: 16384 op, 1549989.00 ns, 94.6038 ns/op
WorkloadPilot   12: 32768 op, 2228754.00 ns, 68.0162 ns/op
WorkloadPilot   13: 65536 op, 5034683.00 ns, 76.8232 ns/op
WorkloadPilot   14: 131072 op, 9518569.00 ns, 72.6209 ns/op
WorkloadPilot   15: 262144 op, 19430464.00 ns, 74.1213 ns/op
WorkloadPilot   16: 524288 op, 36519368.00 ns, 69.6552 ns/op
WorkloadPilot   17: 1048576 op, 75371969.00 ns, 71.8803 ns/op
WorkloadPilot   18: 2097152 op, 146119285.00 ns, 69.6751 ns/op
WorkloadPilot   19: 4194304 op, 278939554.00 ns, 66.5044 ns/op
WorkloadPilot   20: 8388608 op, 520014194.00 ns, 61.9905 ns/op

OverheadWarmup   1: 8388608 op, 15339730.00 ns, 1.8286 ns/op
OverheadWarmup   2: 8388608 op, 14750116.00 ns, 1.7584 ns/op
OverheadWarmup   3: 8388608 op, 14646824.00 ns, 1.7460 ns/op
OverheadWarmup   4: 8388608 op, 15020127.00 ns, 1.7905 ns/op
OverheadWarmup   5: 8388608 op, 16795119.00 ns, 2.0021 ns/op
OverheadWarmup   6: 8388608 op, 15625156.00 ns, 1.8627 ns/op
OverheadWarmup   7: 8388608 op, 15209683.00 ns, 1.8131 ns/op
OverheadWarmup   8: 8388608 op, 15182603.00 ns, 1.8099 ns/op
OverheadWarmup   9: 8388608 op, 14849657.00 ns, 1.7702 ns/op
OverheadWarmup  10: 8388608 op, 14733234.00 ns, 1.7563 ns/op

OverheadActual   1: 8388608 op, 14505851.00 ns, 1.7292 ns/op
OverheadActual   2: 8388608 op, 15325875.00 ns, 1.8270 ns/op
OverheadActual   3: 8388608 op, 14371398.00 ns, 1.7132 ns/op
OverheadActual   4: 8388608 op, 14578953.00 ns, 1.7379 ns/op
OverheadActual   5: 8388608 op, 14921154.00 ns, 1.7787 ns/op
OverheadActual   6: 8388608 op, 14656376.00 ns, 1.7472 ns/op
OverheadActual   7: 8388608 op, 15699595.00 ns, 1.8715 ns/op
OverheadActual   8: 8388608 op, 19305686.00 ns, 2.3014 ns/op
OverheadActual   9: 8388608 op, 14843986.00 ns, 1.7695 ns/op
OverheadActual  10: 8388608 op, 14722989.00 ns, 1.7551 ns/op
OverheadActual  11: 8388608 op, 14861424.00 ns, 1.7716 ns/op
OverheadActual  12: 8388608 op, 14976225.00 ns, 1.7853 ns/op
OverheadActual  13: 8388608 op, 14948142.00 ns, 1.7820 ns/op
OverheadActual  14: 8388608 op, 15139754.00 ns, 1.8048 ns/op
OverheadActual  15: 8388608 op, 15699099.00 ns, 1.8715 ns/op

WorkloadWarmup   1: 8388608 op, 529202018.00 ns, 63.0858 ns/op
WorkloadWarmup   2: 8388608 op, 524509825.00 ns, 62.5264 ns/op
WorkloadWarmup   3: 8388608 op, 535747276.00 ns, 63.8661 ns/op
WorkloadWarmup   4: 8388608 op, 531681055.00 ns, 63.3813 ns/op
WorkloadWarmup   5: 8388608 op, 518319596.00 ns, 61.7885 ns/op
WorkloadWarmup   6: 8388608 op, 531755368.00 ns, 63.3902 ns/op
WorkloadWarmup   7: 8388608 op, 527808426.00 ns, 62.9197 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 535308927.00 ns, 63.8138 ns/op
WorkloadActual   2: 8388608 op, 536324717.00 ns, 63.9349 ns/op
WorkloadActual   3: 8388608 op, 554157241.00 ns, 66.0607 ns/op
WorkloadActual   4: 8388608 op, 553179377.00 ns, 65.9441 ns/op
WorkloadActual   5: 8388608 op, 548572481.00 ns, 65.3949 ns/op
WorkloadActual   6: 8388608 op, 552782724.00 ns, 65.8968 ns/op
WorkloadActual   7: 8388608 op, 544713851.00 ns, 64.9350 ns/op
WorkloadActual   8: 8388608 op, 551237694.00 ns, 65.7127 ns/op
WorkloadActual   9: 8388608 op, 586819842.00 ns, 69.9544 ns/op
WorkloadActual  10: 8388608 op, 548430713.00 ns, 65.3780 ns/op
WorkloadActual  11: 8388608 op, 553056040.00 ns, 65.9294 ns/op
WorkloadActual  12: 8388608 op, 546007302.00 ns, 65.0891 ns/op
WorkloadActual  13: 8388608 op, 518989816.00 ns, 61.8684 ns/op
WorkloadActual  14: 8388608 op, 514138901.00 ns, 61.2901 ns/op
WorkloadActual  15: 8388608 op, 517640985.00 ns, 61.7076 ns/op
WorkloadActual  16: 8388608 op, 513237199.00 ns, 61.1826 ns/op
WorkloadActual  17: 8388608 op, 514140789.00 ns, 61.2904 ns/op
WorkloadActual  18: 8388608 op, 515117134.00 ns, 61.4067 ns/op
WorkloadActual  19: 8388608 op, 547380370.00 ns, 65.2528 ns/op
WorkloadActual  20: 8388608 op, 530154419.00 ns, 63.1993 ns/op
WorkloadActual  21: 8388608 op, 522529362.00 ns, 62.2904 ns/op
WorkloadActual  22: 8388608 op, 525265621.00 ns, 62.6165 ns/op
WorkloadActual  23: 8388608 op, 524462912.00 ns, 62.5209 ns/op
WorkloadActual  24: 8388608 op, 532973138.00 ns, 63.5353 ns/op
WorkloadActual  25: 8388608 op, 519319599.00 ns, 61.9077 ns/op
WorkloadActual  26: 8388608 op, 516202055.00 ns, 61.5361 ns/op
WorkloadActual  27: 8388608 op, 518582481.00 ns, 61.8198 ns/op
WorkloadActual  28: 8388608 op, 518409580.00 ns, 61.7992 ns/op
WorkloadActual  29: 8388608 op, 537747835.00 ns, 64.1045 ns/op
WorkloadActual  30: 8388608 op, 518776641.00 ns, 61.8430 ns/op
